Average Size,Climate,Soil Type,Experience,Labour Requirement,Irrigation System,Pest and Disease Resistance,Crop Yield Potential,Recommended Plant
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Paddy
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Wheat
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Low,High,Potato
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Tomato
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Corn
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Barley
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Carrot
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Onion
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Sugarcane
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Soybean
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Cabbage
Less than 10 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Cauliflower
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Moderate,High,Spinach
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Lettuce
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Low,High,Peas
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Low,Medium,Chickpeas
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Lentils
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Mustard
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Low,High,Sunflower
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Groundnut
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Cotton
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Millet
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Low,High,Sorghum
Less than 10 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Rice
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Moderate,High,Oats
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Rye
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Low,High,Banana
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Low,Medium,Mango
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Apple
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Grapes
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Low,High,Orange
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Papaya
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Pineapple
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Strawberry
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Low,High,Blueberry
Less than 10 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Raspberry
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Moderate,High,Watermelon
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Moderate,Medium,Cucumber
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Low,High,Pumpkin
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Low,Medium,Zucchini
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Moderate,High,Bell Pepper
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Chili Pepper
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Low,High,Brinjal (Eggplant)
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Low,Medium,Radish
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Moderate,High,Beetroot
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Garlic
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Low,High,Ginger
Less than 10 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Low,Medium,Turmeric
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,High,Basil
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Coriander
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Low,High,Parsley
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Low,Medium,Thyme
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Rosemary
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Lavender
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,High,Tea
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Coffee
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Cocoa
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Cashew
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,High,Almond
Less than 10 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Pistachio
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Moderate,High,Walnut
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Moderate,Medium,Coconut
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Low,High,Sesame
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Low,Medium,Flaxseed
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,High,Jute
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Rubber
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Low,High,Vanilla
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Low,Medium,Cardamom
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,High,Clove
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Nutmeg
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Low,High,Pepper
Less than 10 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Low,Medium,Fenugreek
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Moderate,High,Fennel
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Moderate,Medium,Celery
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Low,High,Asparagus
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Low,Medium,Okra
Less than 10 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,High,Bitter Gourd
