Space Availability,Location,Plant Type,Growth Type,Budget,Aesthetic Feature,Watering,Maintenance,Sunlight,Recommended Plant
Residential,Indoor,Small,Tropical,Low budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Giant Cactus
Residential,Indoor,Small,Tropical,Low budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Giant Lavender
Residential,Indoor,Small,Tropical,Low budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Variegated Venus Flytrap
Residential,Indoor,Small,Tropical,Low budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Spotted Jasmine
Residential,Indoor,Small,Tropical,Low budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Fragrant Willow
Residential,Indoor,Small,Tropical,Low budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Variegated Lavender
Residential,Indoor,Small,Tropical,Low budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Wild Basil
Residential,Indoor,Small,Tropical,Low budget,Decorative,High Watering,High maintenance,Natural Sunlight,Golden Jasmine
Residential,Indoor,Small,Tropical,Large budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Silver Sunflower
Residential,Indoor,Small,Tropical,Large budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Silver Aloe Vera
Residential,Indoor,Small,Tropical,Large budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Hybrid Zinnia
Residential,Indoor,Small,Tropical,Large budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Wild Quince
Residential,Indoor,Small,Tropical,Large budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Hybrid Lavender
Residential,Indoor,Small,Tropical,Large budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Wild Nasturtium
Residential,Indoor,Small,Tropical,Large budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Striped Xerophyte
Residential,Indoor,Small,Tropical,Large budget,Decorative,High Watering,High maintenance,Natural Sunlight,Variegated Daisy
Residential,Indoor,Small,Temperate,Low budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Dwarf Sunflower
Residential,Indoor,Small,Temperate,Low budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Golden Lavender
Residential,Indoor,Small,Temperate,Low budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Dwarf Cactus
Residential,Indoor,Small,Temperate,Low budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Silver Cactus
Residential,Indoor,Small,Temperate,Low budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Variegated Sunflower
Residential,Indoor,Small,Temperate,Low budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Striped Zinnia
Residential,Indoor,Small,Temperate,Low budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Giant Yucca
Residential,Indoor,Small,Temperate,Low budget,Decorative,High Watering,High maintenance,Natural Sunlight,Fragrant Kale
Residential,Indoor,Small,Temperate,Large budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Variegated Jasmine
Residential,Indoor,Small,Temperate,Large budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Wild Venus Flytrap
Residential,Indoor,Small,Temperate,Large budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Giant Daisy
Residential,Indoor,Small,Temperate,Large budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Variegated Orchid
Residential,Indoor,Small,Temperate,Large budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Striped Sunflower
Residential,Indoor,Small,Temperate,Large budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Silver Jasmine
Residential,Indoor,Small,Temperate,Large budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Silver Yucca
Residential,Indoor,Small,Temperate,Large budget,Decorative,High Watering,High maintenance,Natural Sunlight,Fragrant Orchid
Residential,Indoor,Large,Tropical,Low budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Variegated Basil
Residential,Indoor,Large,Tropical,Low budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Striped Ficus
Residential,Indoor,Large,Tropical,Low budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Golden Ivy
Residential,Indoor,Large,Tropical,Low budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Fragrant Nasturtium
Residential,Indoor,Large,Tropical,Low budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Spotted Venus Flytrap
Residential,Indoor,Large,Tropical,Low budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Fragrant Sunflower
Residential,Indoor,Large,Tropical,Low budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Giant Rose
Residential,Indoor,Large,Tropical,Low budget,Decorative,High Watering,High maintenance,Natural Sunlight,Striped Kale
Residential,Indoor,Large,Tropical,Large budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Fragrant Venus Flytrap
Residential,Indoor,Large,Tropical,Large budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Giant Geranium
Residential,Indoor,Large,Tropical,Large budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Spotted Ivy
Residential,Indoor,Large,Tropical,Large budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Dwarf Tulip
Residential,Indoor,Large,Tropical,Large budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Fragrant Lavender
Residential,Indoor,Large,Tropical,Large budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Variegated Palm
Residential,Indoor,Large,Tropical,Large budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Spotted Lavender
Residential,Indoor,Large,Tropical,Large budget,Decorative,High Watering,High maintenance,Natural Sunlight,Spotted Palm
Residential,Indoor,Large,Temperate,Low budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Striped Quince
Residential,Indoor,Large,Temperate,Low budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Hybrid Yucca
Residential,Indoor,Large,Temperate,Low budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Fragrant Daisy
Residential,Indoor,Large,Temperate,Low budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Hybrid Tulip
Residential,Indoor,Large,Temperate,Low budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Giant Ficus
Residential,Indoor,Large,Temperate,Low budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Striped Venus Flytrap
Residential,Indoor,Large,Temperate,Low budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Golden Rose
Residential,Indoor,Large,Temperate,Low budget,Decorative,High Watering,High maintenance,Natural Sunlight,Silver Geranium
Residential,Indoor,Large,Temperate,Large budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Striped Hibiscus
Residential,Indoor,Large,Temperate,Large budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Golden Cactus
Residential,Indoor,Large,Temperate,Large budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Giant Eucalyptus
Residential,Indoor,Large,Temperate,Large budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Golden Aloe Vera
Residential,Indoor,Large,Temperate,Large budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Fragrant Ficus
Residential,Indoor,Large,Temperate,Large budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Hybrid Mint
Residential,Indoor,Large,Temperate,Large budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Giant Palm
Residential,Indoor,Large,Temperate,Large budget,Decorative,High Watering,High maintenance,Natural Sunlight,Giant Willow
Residential,Outdoor,Small,Tropical,Low budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Spotted Eucalyptus
Residential,Outdoor,Small,Tropical,Low budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Dwarf Lavender
Residential,Outdoor,Small,Tropical,Low budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Spotted Hibiscus
Residential,Outdoor,Small,Tropical,Low budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Wild Orchid
Residential,Outdoor,Small,Tropical,Low budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Variegated Nasturtium
Residential,Outdoor,Small,Tropical,Low budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Golden Sunflower
Residential,Outdoor,Small,Tropical,Low budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Hybrid Basil
Residential,Outdoor,Small,Tropical,Low budget,Decorative,High Watering,High maintenance,Natural Sunlight,Silver Zinnia
Residential,Outdoor,Small,Tropical,Large budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Fragrant Geranium
Residential,Outdoor,Small,Tropical,Large budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Striped Umbrella Plant
Residential,Outdoor,Small,Tropical,Large budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Giant Tulip
Residential,Outdoor,Small,Tropical,Large budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Silver Venus Flytrap
Residential,Outdoor,Small,Tropical,Large budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Golden Ficus
Residential,Outdoor,Small,Tropical,Large budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Golden Kale
Residential,Outdoor,Small,Tropical,Large budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Variegated Quince
Residential,Outdoor,Small,Tropical,Large budget,Decorative,High Watering,High maintenance,Natural Sunlight,Golden Mint
Residential,Outdoor,Small,Temperate,Low budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Hybrid Xerophyte
Residential,Outdoor,Small,Temperate,Low budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Variegated Ivy
Residential,Outdoor,Small,Temperate,Low budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Wild Xerophyte
Residential,Outdoor,Small,Temperate,Low budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Spotted Sunflower
Residential,Outdoor,Small,Temperate,Low budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Giant Venus Flytrap
Residential,Outdoor,Small,Temperate,Low budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Wild Tulip
Residential,Outdoor,Small,Temperate,Low budget,Decorative,High Watering,High maintenance,Artificial Sunlight,Golden Palm
Residential,Outdoor,Small,Temperate,Low budget,Decorative,High Watering,High maintenance,Natural Sunlight,Variegated Ficus
Residential,Outdoor,Small,Temperate,Large budget,Decorative,Low Watering,Low maintenance,Artificial Sunlight,Silver Xerophyte
Residential,Outdoor,Small,Temperate,Large budget,Decorative,Low Watering,Low maintenance,Natural Sunlight,Hybrid Venus Flytrap
Residential,Outdoor,Small,Temperate,Large budget,Decorative,Low Watering,High maintenance,Artificial Sunlight,Wild Ficus
Residential,Outdoor,Small,Temperate,Large budget,Decorative,Low Watering,High maintenance,Natural Sunlight,Fragrant Zinnia
Residential,Outdoor,Small,Temperate,Large budget,Decorative,High Watering,Low maintenance,Artificial Sunlight,Fragrant Jasmine
Residential,Outdoor,Small,Temperate,Large budget,Decorative,High Watering,Low maintenance,Natural Sunlight,Golden Daisy
