Maintenance,Water Requirement,Growth Habit,Size and Height,Uses,Recommended Plant
Low,Low,Tree,Small,Ornamental,Bird of Paradise (Strelitzia reginae)
Low,Low,Tree,Small,Medicinal,Dragon Tree (Dracaena draco)
Low,Low,Tree,Small,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Low,Low,Tree,Medium,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Low,Low,Tree,Medium,Medicinal,Bougainvillea (Bougainvillea spp.)
Low,Low,Tree,Medium,Commercial,Plumeria (Plumeria spp.)
Low,Low,Tree,Dwarf,Ornamental,Aloe Vera (Aloe barbadensis miller)
Low,Low,Tree,Dwarf,Medicinal,Oleander (Nerium oleander)
Low,Low,Tree,Dwarf,Commercial,Canna Lily (Canna indica)
Low,Low,Tree,Large,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Low,Low,Tree,Large,Medicinal,Yucca (Yucca filamentosa)
Low,Low,Tree,Large,Commercial,Desert Rose (Adenium obesum)
Low,Low,Tree,Tall,Ornamental,Heliconia (Heliconia spp.)
Low,Low,Tree,Tall,Medicinal,Cypress (Cupressus spp.)
Low,Low,Tree,Tall,Commercial,Citrus Tree (Citrus spp.)
Low,Low,Shrub,Small,Ornamental,Bitter Melon (Momordica charantia)
Low,Low,Shrub,Small,Medicinal,Passion Fruit Vine (Passiflora edulis)
Low,Low,Shrub,Small,Commercial,Jade Plant (Crassula ovata)
Low,Low,Shrub,Medium,Ornamental,Mango Tree (Mangifera indica)
Low,Low,Shrub,Medium,Medicinal,Cocoa Tree (Theobroma cacao)
Low,Low,Shrub,Medium,Commercial,Tropical Ginger (Zingiber zerumbet)
Low,Low,Shrub,Dwarf,Ornamental,Red Banana (Ensete ventricosum)
Low,Low,Shrub,Dwarf,Medicinal,Rex Begonia (Begonia rex)
Low,Low,Shrub,Dwarf,Commercial,Chili Pepper (Capsicum annuum)
Low,Low,Shrub,Large,Ornamental,Maranta (Maranta spp.)
Low,Low,Shrub,Large,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Low,Low,Shrub,Large,Commercial,Bird of Paradise (Strelitzia reginae)
Low,Low,Shrub,Tall,Ornamental,Dragon Tree (Dracaena draco)
Low,Low,Shrub,Tall,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Low,Low,Shrub,Tall,Commercial,Kangaroo Paw (Anigozanthos spp.)
Low,Low,Vine,Small,Ornamental,Bougainvillea (Bougainvillea spp.)
Low,Low,Vine,Small,Medicinal,Plumeria (Plumeria spp.)
Low,Low,Vine,Small,Commercial,Aloe Vera (Aloe barbadensis miller)
Low,Low,Vine,Medium,Ornamental,Oleander (Nerium oleander)
Low,Low,Vine,Medium,Medicinal,Canna Lily (Canna indica)
Low,Low,Vine,Medium,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Low,Low,Vine,Dwarf,Ornamental,Yucca (Yucca filamentosa)
Low,Low,Vine,Dwarf,Medicinal,Desert Rose (Adenium obesum)
Low,Low,Vine,Dwarf,Commercial,Heliconia (Heliconia spp.)
Low,Low,Vine,Large,Ornamental,Cypress (Cupressus spp.)
Low,Low,Vine,Large,Medicinal,Citrus Tree (Citrus spp.)
Low,Low,Vine,Large,Commercial,Bitter Melon (Momordica charantia)
Low,Low,Vine,Tall,Ornamental,Passion Fruit Vine (Passiflora edulis)
Low,Low,Vine,Tall,Medicinal,Jade Plant (Crassula ovata)
Low,Low,Vine,Tall,Commercial,Mango Tree (Mangifera indica)
Low,Low,Ground cover,Small,Ornamental,Cocoa Tree (Theobroma cacao)
Low,Low,Ground cover,Small,Medicinal,Tropical Ginger (Zingiber zerumbet)
Low,Low,Ground cover,Small,Commercial,Red Banana (Ensete ventricosum)
Low,Low,Ground cover,Medium,Ornamental,Rex Begonia (Begonia rex)
Low,Low,Ground cover,Medium,Medicinal,Chili Pepper (Capsicum annuum)
Low,Low,Ground cover,Medium,Commercial,Maranta (Maranta spp.)
Low,Low,Ground cover,Dwarf,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Low,Low,Ground cover,Dwarf,Medicinal,Bird of Paradise (Strelitzia reginae)
Low,Low,Ground cover,Dwarf,Commercial,Dragon Tree (Dracaena draco)
Low,Low,Ground cover,Large,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Low,Low,Ground cover,Large,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Low,Low,Ground cover,Large,Commercial,Bougainvillea (Bougainvillea spp.)
Low,Low,Ground cover,Tall,Ornamental,Plumeria (Plumeria spp.)
Low,Low,Ground cover,Tall,Medicinal,Aloe Vera (Aloe barbadensis miller)
Low,Low,Ground cover,Tall,Commercial,Oleander (Nerium oleander)
Low,Low,Herbaceous,Small,Ornamental,Canna Lily (Canna indica)
Low,Low,Herbaceous,Small,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Low,Low,Herbaceous,Small,Commercial,Yucca (Yucca filamentosa)
Low,Low,Herbaceous,Medium,Ornamental,Desert Rose (Adenium obesum)
Low,Low,Herbaceous,Medium,Medicinal,Heliconia (Heliconia spp.)
Low,Low,Herbaceous,Medium,Commercial,Cypress (Cupressus spp.)
Low,Low,Herbaceous,Dwarf,Ornamental,Citrus Tree (Citrus spp.)
Low,Low,Herbaceous,Dwarf,Medicinal,Bitter Melon (Momordica charantia)
Low,Low,Herbaceous,Dwarf,Commercial,Passion Fruit Vine (Passiflora edulis)
Low,Low,Herbaceous,Large,Ornamental,Jade Plant (Crassula ovata)
Low,Low,Herbaceous,Large,Medicinal,Mango Tree (Mangifera indica)
Low,Low,Herbaceous,Large,Commercial,Cocoa Tree (Theobroma cacao)
Low,Low,Herbaceous,Tall,Ornamental,Tropical Ginger (Zingiber zerumbet)
Low,Low,Herbaceous,Tall,Medicinal,Red Banana (Ensete ventricosum)
Low,Low,Herbaceous,Tall,Commercial,Rex Begonia (Begonia rex)
Low,Low,Grass,Small,Ornamental,Chili Pepper (Capsicum annuum)
Low,Low,Grass,Small,Medicinal,Maranta (Maranta spp.)
Low,Low,Grass,Small,Commercial,Angel’s Trumpet (Brugmansia spp.)
Low,Low,Grass,Medium,Ornamental,Bird of Paradise (Strelitzia reginae)
Low,Low,Grass,Medium,Medicinal,Dragon Tree (Dracaena draco)
Low,Low,Grass,Medium,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Low,Low,Grass,Dwarf,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Low,Low,Grass,Dwarf,Medicinal,Bougainvillea (Bougainvillea spp.)
Low,Low,Grass,Dwarf,Commercial,Plumeria (Plumeria spp.)
Low,Low,Grass,Large,Ornamental,Aloe Vera (Aloe barbadensis miller)
