Sunlight,Watering,Maintenance,Plant Size,Growth Type,Aesthetic Feature,Weather,Locations,Recommended Plant
High,High,High,Large,Small,Edible,Tropical,Indoor,Spinach
High,High,High,Large,Small,Edible,Tropical,Outdoor,Tomato
High,High,High,Large,Small,Edible,Temperate,Indoor,Lettuce
High,High,High,Large,Small,Edible,Temperate,Outdoor,Strawberry
High,High,High,Large,Small,Decorative,Tropical,Indoor,Orchid
High,High,High,Large,Small,Decorative,Tropical,Outdoor,Hibiscus
High,High,High,Large,Small,Decorative,Temperate,Indoor,Tulip
High,High,High,Large,Small,Decorative,Temperate,Outdoor,Sunflower
High,High,High,Large,Big,Edible,Tropical,Indoor,Banana
High,High,High,Large,Big,Edible,Tropical,Outdoor,Pineapple
High,High,High,Large,Big,Edible,Temperate,Indoor,Blueberry
High,High,High,Large,Big,Edible,Temperate,Outdoor,Apple
High,High,High,Large,Big,Decorative,Tropical,Indoor,Bromeliad
High,High,High,Large,Big,Decorative,Tropical,Outdoor,Plumeria
High,High,High,Large,Big,Decorative,Temperate,Indoor,Amaryllis
High,High,High,Large,Big,Decorative,Temperate,Outdoor,Dahlia
High,High,High,Small,Small,Edible,Tropical,Indoor,Papaya
High,High,High,Small,Small,Edible,Tropical,Outdoor,Mango
High,High,High,Small,Small,Edible,Temperate,Indoor,Kale
High,High,High,Small,Small,Edible,Temperate,Outdoor,Carrot
High,High,High,Small,Small,Decorative,Tropical,Indoor,Anthurium
High,High,High,Small,Small,Decorative,Tropical,Outdoor,Gardenia
High,High,High,Small,Small,Decorative,Temperate,Indoor,Begonia
High,High,High,Small,Small,Decorative,Temperate,Outdoor,Pansy
High,High,High,Small,Big,Edible,Tropical,Indoor,Sweet Potato
High,High,High,Small,Big,Edible,Tropical,Outdoor,Cucumber
High,High,High,Small,Big,Edible,Temperate,Indoor,Spinach
High,High,High,Small,Big,Edible,Temperate,Outdoor,Lettuce
High,High,High,Small,Big,Decorative,Tropical,Indoor,Peace Lily
High,High,High,Small,Big,Decorative,Tropical,Outdoor,Jasmine
High,High,High,Small,Big,Decorative,Temperate,Indoor,Geranium
High,High,High,Small,Big,Decorative,Temperate,Outdoor,Lavender
High,High,Low,Large,Small,Edible,Tropical,Indoor,Avocado
High,High,Low,Large,Small,Edible,Tropical,Outdoor,Coconut
High,High,Low,Large,Small,Edible,Temperate,Indoor,Parsley
High,High,Low,Large,Small,Edible,Temperate,Outdoor,Broccoli
High,High,Low,Large,Small,Decorative,Tropical,Indoor,Ficus
High,High,Low,Large,Small,Decorative,Tropical,Outdoor,Bougainvillea
High,High,Low,Large,Small,Decorative,Temperate,Indoor,Ivy
High,High,Low,Large,Small,Decorative,Temperate,Outdoor,Rose
High,High,Low,Large,Big,Edible,Tropical,Indoor,Chilli Pepper
High,High,Low,Large,Big,Edible,Tropical,Outdoor,Okra
High,High,Low,Large,Big,Edible,Temperate,Indoor,Zucchini
High,High,Low,Large,Big,Edible,Temperate,Outdoor,Radish
High,High,Low,Large,Big,Decorative,Tropical,Indoor,Calla Lily
High,High,Low,Large,Big,Decorative,Tropical,Outdoor,Gardenia
High,High,Low,Large,Big,Decorative,Temperate,Indoor,Amaryllis
High,High,Low,Large,Big,Decorative,Temperate,Outdoor,Crocus
High,High,Low,Small,Small,Edible,Tropical,Indoor,Dragon Fruit
High,High,Low,Small,Small,Edible,Tropical,Outdoor,Papaya
High,High,Low,Small,Small,Edible,Temperate,Indoor,Chard
High,High,Low,Small,Small,Edible,Temperate,Outdoor,Asparagus
High,High,Low,Small,Small,Decorative,Tropical,Indoor,Flamingo Plant
High,High,Low,Small,Small,Decorative,Tropical,Outdoor,Palm
High,High,Low,Small,Small,Decorative,Temperate,Indoor,Cactus
High,High,Low,Small,Small,Decorative,Temperate,Outdoor,Marigold
High,High,Low,Small,Big,Edible,Tropical,Indoor,Sweet Pepper
High,High,Low,Small,Big,Edible,Tropical,Outdoor,Mango
High,High,Low,Small,Big,Edible,Temperate,Indoor,Chives
High,High,Low,Small,Big,Edible,Temperate,Outdoor,Peas
High,High,Low,Small,Big,Decorative,Tropical,Indoor,Anthurium
High,High,Low,Small,Big,Decorative,Tropical,Outdoor,Bougainvillea
High,High,Low,Small,Big,Decorative,Temperate,Indoor,Gardenia
High,High,Low,Small,Big,Decorative,Temperate,Outdoor,Dahlia
High,Low,High,Large,Small,Edible,Tropical,Indoor,Papaya
High,Low,High,Large,Small,Edible,Tropical,Outdoor,Pineapple
High,Low,High,Large,Small,Edible,Temperate,Indoor,Kale
High,Low,High,Large,Small,Edible,Temperate,Outdoor,Carrot
High,Low,High,Large,Small,Decorative,Tropical,Indoor,Areca Palm
High,Low,High,Large,Small,Decorative,Tropical,Outdoor,Hibiscus
High,Low,High,Large,Small,Decorative,Temperate,Indoor,Lavender
High,Low,High,Large,Small,Decorative,Temperate,Outdoor,Geranium
High,Low,High,Large,Big,Edible,Tropical,Indoor,Banana
High,Low,High,Large,Big,Edible,Tropical,Outdoor,Mango
High,Low,High,Large,Big,Edible,Temperate,Indoor,Spinach
High,Low,High,Large,Big,Edible,Temperate,Outdoor,Carrot
High,Low,High,Large,Big,Decorative,Tropical,Indoor,Anthurium
High,Low,High,Large,Big,Decorative,Tropical,Outdoor,Bird of Paradise
High,Low,High,Large,Big,Decorative,Temperate,Indoor,Fuchsia
High,Low,High,Large,Big,Decorative,Temperate,Outdoor,Dahlia
High,Low,High,Small,Small,Edible,Tropical,Indoor,Pineapple
High,Low,High,Small,Small,Edible,Tropical,Outdoor,Coconut
High,Low,High,Small,Small,Edible,Temperate,Indoor,Lettuce
High,Low,High,Small,Small,Edible,Temperate,Outdoor,Tomato
High,Low,High,Small,Small,Decorative,Tropical,Indoor,Peace Lily
High,Low,High,Small,Small,Decorative,Tropical,Outdoor,Bougainvillea
High,Low,High,Small,Small,Decorative,Temperate,Indoor,Pothos
High,Low,High,Small,Small,Decorative,Temperate,Outdoor,Rose
High,Low,High,Small,Big,Edible,Tropical,Indoor,Papaya
High,Low,High,Small,Big,Edible,Tropical,Outdoor,Guava
High,Low,High,Small,Big,Edible,Temperate,Indoor,Kale
High,Low,High,Small,Big,Edible,Temperate,Outdoor,Broccoli
High,Low,High,Small,Big,Decorative,Tropical,Indoor,Orchid
High,Low,High,Small,Big,Decorative,Tropical,Outdoor,Hibiscus
High,Low,High,Small,Big,Decorative,Temperate,Indoor,Ficus
High,Low,High,Small,Big,Decorative,Temperate,Outdoor,Rose
High,Low,Low,Large,Small,Edible,Tropical,Indoor,Banana
High,Low,Low,Large,Small,Edible,Tropical,Outdoor,Mango
High,Low,Low,Large,Small,Edible,Temperate,Indoor,Lettuce
High,Low,Low,Large,Small,Edible,Temperate,Outdoor,Tomato
High,Low,Low,Large,Small,Decorative,Tropical,Indoor,Peace Lily
High,Low,Low,Large,Small,Decorative,Tropical,Outdoor,Bird of Paradise
High,Low,Low,Large,Small,Decorative,Temperate,Indoor,Pothos
High,Low,Low,Large,Small,Decorative,Temperate,Outdoor,Dahlia
High,Low,Low,Large,Big,Edible,Tropical,Indoor,Pineapple
High,Low,Low,Large,Big,Edible,Tropical,Outdoor,Papaya
High,Low,Low,Large,Big,Edible,Temperate,Indoor,Spinach
High,Low,Low,Large,Big,Edible,Temperate,Outdoor,Carrot
High,Low,Low,Large,Big,Decorative,Tropical,Indoor,Areca Palm
High,Low,Low,Large,Big,Decorative,Tropical,Outdoor,Bougainvillea
High,Low,Low,Large,Big,Decorative,Temperate,Indoor,Lavender
High,Low,Low,Large,Big,Decorative,Temperate,Outdoor,Geranium
High,Low,Low,Small,Small,Edible,Tropical,Indoor,Avocado
High,Low,Low,Small,Small,Edible,Tropical,Outdoor,Coconut
High,Low,Low,Small,Small,Edible,Temperate,Indoor,Kale
High,Low,Low,Small,Small,Edible,Temperate,Outdoor,Broccoli
High,Low,Low,Small,Small,Decorative,Tropical,Indoor,Areca Palm
High,Low,Low,Small,Small,Decorative,Tropical,Outdoor,Bougainvillea
High,Low,Low,Small,Small,Decorative,Temperate,Indoor,Ficus
High,Low,Low,Small,Small,Decorative,Temperate,Outdoor,Rose
High,Low,Low,Small,Big,Edible,Tropical,Indoor,Banana
High,Low,Low,Small,Big,Edible,Tropical,Outdoor,Mango
High,Low,Low,Small,Big,Edible,Temperate,Indoor,Lettuce
High,Low,Low,Small,Big,Edible,Temperate,Outdoor,Tomato
High,Low,Low,Small,Big,Decorative,Tropical,Indoor,Peace Lily
High,Low,Low,Small,Big,Decorative,Tropical,Outdoor,Bird of Paradise
